Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms),Paced walking duration (ms)
2022-05-25,3,193.4622165906427,128.3813247680664,,,0.8312875140663523,1.4859505891799927,0.3336781859397888,231,70.0,70.0,70.0,,,,,,
2022-05-26,3,1584.4999453639869,201.75746250152588,,,0.507615812745426,1.1963536739349365,0.26694250106811523,412,,,,,,,,,
2022-05-27,19,1590.1861370296779,805.499128818512,,,0.3486368776979698,0.78962641954422,0.26274168491363525,1391,,,,,,102362,,,
2022-05-28,42,1614.9853320606594,1893.1265684366226,3.0,3,0.3539117043169206,1.4562841653823853,0.2891877293586731,2981,,,,,,404080,63053,,
2022-05-29,21,1584.4999782496043,751.5227227210999,,,0.32736921483409887,0.6997274160385132,0.2558199167251587,1282,,,,,,,,,
2022-05-30,7,1584.4999610990549,389.0687599182129,,,0.33033411013860814,0.7312619090080261,0.2558199167251587,721,,,,,,,,,
2022-05-31,23,1701.2463579006012,1498.8969041705132,7.0,7,0.5204782428102844,1.3776625394821167,0.2891877293586731,2305,,,,,,983346,487252,,
2022-06-01,31,1626.3153461191234,1169.925440788269,,,0.35209775193198123,1.2279293537139893,0.26694250106811523,2029,,,,,,752756,,,
2022-06-02,11,1584.4999123211433,473.1556661128998,,,0.35330256756823236,0.669166624546051,0.2891877293586731,875,,,,,,,,,
2022-06-03,5,1588.336181540553,406.2060794830322,,,0.3304555803788605,0.554926335811615,0.2558199167251587,727,,,,,,69060,,,
2022-06-04,29,1637.9522974572244,1307.3105518817902,2.0,2,0.33812936391488085,1.5291858911514282,0.26694250106811523,2062,,,,,,554516,177648,,
2022-06-05,24,1589.8575876474345,845.3425958156586,,,0.3452317395210826,1.260668158531189,0.25313347578048706,1403,,,,,,96447,,,
2022-06-06,8,1584.4999258010225,437.11841773986816,,,0.3416426138551449,0.5877888202667236,0.2558199167251587,835,,,,,,,,,
2022-06-07,3,1590.033685070159,213.6096544265747,,,0.30840245498628815,1.0487794876098633,0.2558199167251587,525,,,,,,99618,,,
2022-06-08,30,1617.2088453218962,1660.6714920401573,4.0,4,0.41443561579986843,1.4663188457489014,0.26694250106811523,2696,,,,,,246728,149051,,
2022-06-09,12,1602.0909494003986,534.7432079315186,,,0.3409531118926233,1.355611801147461,0.300310343503952,954,,,,,,,137975,,
2022-06-10,11,1596.8891550052545,524.0460505485535,,,0.37067652420948644,1.5598164796829224,0.2558199167251587,958,,,,,,223029,,,
2022-06-11,24,1609.7530797240106,935.4026830196381,2.0,2,0.37042044185144346,1.3653924465179443,0.25427475571632385,1525,,,,,,170885,123617,,
2022-06-12,26,1623.2356289403783,1010.4651885032654,,,0.44596966802710486,1.136583685874939,0.26694250106811523,1801,,,,,,697315,,,
2022-06-13,37,1697.5216759760037,1708.4225783348083,3.0,3,0.4271754758776193,1.3477894067764282,0.33367812633514404,2639,,,,,,2034602,,,
2022-06-14,119,1861.2477914904578,6502.74676656723,33.0,33,0.5540967754709638,1.5835764408111572,0.2558199167251587,9325,,,,,,4981981,,,
2022-06-15,36,1616.7856407873362,1332.6523714065552,,,0.35326289030221497,1.3954983949661255,0.27806511521339417,2046,,,,,,121168,200439,,
2022-06-16,6,1588.6089830457943,311.06814432144165,,,0.36828756515013017,0.7218636274337769,0.2558199167251587,578,,,,,,73971,,,
2022-06-17,13,1590.417428976929,523.5004379749298,,,0.3990270494500155,1.2648438215255737,0.300310343503952,981,,,,,,106527,,,
2022-06-18,69,1725.6170910049211,3691.996308326721,18.0,18,0.3714761124493366,1.3854066133499146,0.26694250106811523,5451,,,,,,2270414,117622,,
2022-06-19,124,1869.6137576988992,6711.134938001633,40.0,40,0.4902211181904446,1.5075017213821411,0.2558199167251587,9746,,,,,,5132582,,,
2022-06-20,21,1599.77213761063,989.7226982116699,,,0.6062304651470432,1.3507415056228638,0.2558199167251587,1742,,,,,,274929,,,
2022-06-21,20,1590.2292626867734,764.6250923871994,,,0.3880946638720295,1.4426944255828857,0.25230079889297485,1415,,,,,,103138,,,
2022-06-22,3,1584.4999560802796,206.8804750442505,,,0.45060140148153316,0.8019852042198181,0.2891877293586731,526,,,,,,,,,
2022-06-23,12,1584.499969278827,632.954580783844,,,0.4329133519299738,1.225378155708313,0.2558199167251587,1318,,,,,,,,,
2022-06-24,10,1584.500024085675,375.0542768239975,,,0.3261509723681008,0.854634165763855,0.2558199167251587,644,,,,,,,,,
2022-06-25,5,1584.4999032569865,307.9010524749756,,,0.3416297368133937,1.5586704015731812,0.2558199167251587,680,,,,,,,,,
2022-06-26,21,1588.875021688133,947.3870767354965,,,0.5126181984920206,1.3602547645568848,0.26694250106811523,1635,,,,,861078,,,,42117
2022-06-27,6,1585.4027049287627,338.3496763706207,,,0.32367338061580136,0.7853630185127258,0.26694250106811523,618,,,,,,16252,,,
2022-06-28,31,1628.5750915101194,1354.360056400299,2.0,2,0.3767578468863293,1.333936333656311,0.27388113737106323,2169,,,,,,793435,,,
2022-06-29,28,1625.7673167287703,1528.9590954780579,4.0,4,0.6318143242405742,1.5556740760803223,0.25371283292770386,2403,,,,,,622448,52477,,
2022-06-30,5,1590.6664098921074,280.32925486564636,,,0.3626071116732669,1.0405693054199219,0.2558199167251587,630,,,,,,111008,,,
2022-07-01,31,1597.164194841921,1326.9293454885483,3.0,3,0.37393618719859284,1.4724706411361694,0.2558199167251587,2162,,,,,,48845,78050,,
2022-07-02,12,1584.4999468942292,714.1140789985657,,,0.3471545382116582,1.3330732583999634,0.2582358121871948,1210,,,,,,,,,
2022-07-03,2,1584.4998924628483,176.49093341827393,,,0.4027928476892862,0.7668527960777283,0.2558199167251587,405,,,,,,,,,
2022-07-04,4,1588.3831786365415,194.86926794052124,,,0.38504218887253744,0.6269959807395935,0.33367815613746643,434,,,,,,69906,,,
2022-07-05,13,1584.5000093490517,644.2802534103394,,,0.5435542482985253,1.3363232612609863,0.27806511521339417,1135,,,,,,,,,
2022-07-06,3,1584.4999459353512,334.43729972839355,,,0.3732417741259345,0.9647608995437622,0.2558199167251587,594,,,,,,,,,
2022-07-07,52,1598.9653008047378,1922.602445602417,3.0,3,0.43724048356248546,1.4016519784927368,0.2558199167251587,2967,,,,,,260404,,,
2022-07-08,12,1597.442635565867,601.2880935668945,,,0.3445957363483677,0.8206404447555542,0.2558199167251587,1060,,,,,,232993,,,
