fsq_id,name,distance,latitude,longitude,address,locality,region,postcode,country,formatted_address,categories,closed_bucket,timezone,link
5ca5b28cf96b2c0039e88539,Siimsar Multi-Specialty Ayurveda Hospital,1267,19.032402,73.068172,,Navi Mumbai,Mahārāshtra,410210,IN,"Navi Mumbai 410210, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/5ca5b28cf96b2c0039e88539
59a13462061b515726a7d8de,Nubello Aesthetic Clinic,1306,19.034506,73.068625,"Sector 7, Kharghar",Navi Mumbai,Mahārāshtra,410210,IN,"Sector 7, Kharghar, Navi Mumbai 410210, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/59a13462061b515726a7d8de
60fab28fbfa3804c08da4791,Pristyn Care,1362,19.023929,73.09127,"Plot No 6, Mhalsa Residency",Navi Mumbai,Mahārāshtra,410209,IN,"Plot No 6, Mhalsa Residency (Kamothe, Sector 36), Navi Mumbai 410209, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/60fab28fbfa3804c08da4791
500a50cbe4b067574e389ff9,Metro hospital (v),1393,19.023747,73.091399,Main Road,,,,IN,Main Road,Hospital,,Asia/Kolkata,/v3/places/500a50cbe4b067574e389ff9
60fab29129d7312929e36f0d,Pristyn Care,1421,19.023472,73.091634,"Plot No 9, Shraddha Heritage",Navi Mumbai,Mahārāshtra,410209,IN,"Plot No 9, Shraddha Heritage (Kamothe, Sector 7), Navi Mumbai 410209, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/60fab29129d7312929e36f0d
5221a200498eb56482ae94f8,Kharghar Medicity,1462,19.033513,73.06647,,,,,IN,,Hospital,,Asia/Kolkata,/v3/places/5221a200498eb56482ae94f8
514fe4fae4b08d2825fc1f31,Yerla Medical Trust,1738,19.031272,73.063532,,,,,IN,,Hospital,,Asia/Kolkata,/v3/places/514fe4fae4b08d2825fc1f31
60fab28db70b6b7ab53186ab,Pristyn Care,1980,19.042201,73.066258,Block G,Navi Mumbai,Mahārāshtra,410210,IN,"Block G (Kharghar, Sector 12), Navi Mumbai 410210, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/60fab28db70b6b7ab53186ab
60fab28ebda9723afa07c3ce,Pristyn Care,2084,19.027701,73.06031,"Pn 1, Shree Ambika Heritage",Navi Mumbai,Mahārāshtra,410210,IN,"Pn 1, Shree Ambika Heritage (Kharghar, Sector 1), Navi Mumbai 410210, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/60fab28ebda9723afa07c3ce
507aa1a2e4b06fd3aa6af332,MGM Hospital / एम.जी.एम रुग्णालय,2155,19.02804,73.100249,Sector 4E,,,410218,IN,"Sector 4E, 410218",Hospital,,Asia/Kolkata,/v3/places/507aa1a2e4b06fd3aa6af332
4d0462b437036dcb26bd10fb,Municipal health post,757,19.135536,72.82423,Mhadha,Mumbai,Mahārāshtra,,IN,"Mhadha (Andheri west), Mumbai, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/4d0462b437036dcb26bd10fb
6100f9868263cf6ca014dc4e,Pristyn Care,1061,19.136576,72.827338,"No 35, Suresh",Mumbai,Mahārāshtra,400053,IN,"No 35, Suresh (Andheri West), Mumbai 400053, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/6100f9868263cf6ca014dc4e
519dbee3498e5e23a9e8f516,ARC,1536,19.14034,72.829873,Royal Sands Cooperative Hsc,Mumbai,Mahārāshtra,400053,IN,"Royal Sands Cooperative Hsc (Off New Link Road, Behind Citi Mall Andheri West), Mumbai 400053, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/519dbee3498e5e23a9e8f516
5dcc17250bcb4498719b686c,Acuscan Medical Centre,1554,19.122399,72.832429,"Thakkar Apartments, Juhu Galli",Mumbai,Mahārāshtra,400058,IN,"Thakkar Apartments, Juhu Galli, Mumbai 400058, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/5dcc17250bcb4498719b686c
4df7060a887712d325cef2f5,Sujay Hospital,2166,19.104962,72.829688,25 Gulmohar Road,Mumbai,Mahārāshtra,400049,IN,"25 Gulmohar Road, Mumbai 400049, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/4df7060a887712d325cef2f5
5bc3f6f4ad1789002ce97165,Kulkarni’s Hospital,2209,19.148299,72.828323,Link Garden Towers,Mumbai,Mahārāshtra,400053,IN,"Link Garden Towers (Andheri), Mumbai 400053, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/5bc3f6f4ad1789002ce97165
4c208153d38ec9b6432d4e83,Criticare hospital,2264,19.115589,72.83523,Gulmohur Road,Mumbai,Mahārāshtra,,IN,"Gulmohur Road, Mumbai, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/4c208153d38ec9b6432d4e83
4cf905af951537042c026089,Doctor MRS Rohini Dar,2637,19.124353,72.844453,Dawood Baug Road Andheri West,,Mahārāshtra,026089,IN,"Dawood Baug Road Andheri West, 026089, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/4cf905af951537042c026089
5be41203ccad6b0039291b60,Juhu Eye Centre,2647,19.112832,72.837434,,Mumbai,Mahārāshtra,400058,IN,"Mumbai 400058, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/5be41203ccad6b0039291b60
4d7749be396f3704f779a538,Unique hospital,2927,19.114311,72.842615,Jamuna Apartments,Mumbai,Mahārāshtra,400056,IN,"Jamuna Apartments (S.V. Road), Mumbai 400056, Mahārāshtra",Hospital,,Asia/Kolkata,/v3/places/4d7749be396f3704f779a538
